Simulation results for 1 VNF: 
SFC Availability greedy 1: 0.9847609744701433

SFC Availability greedy 2: 0.9824483917352351

SFC availability via MCF: 0.9847609744701432


SFC Availability greedy 1: 0.9814295433422504

SFC Availability greedy 2: 0.9797045182576896

SFC availability via MCF: 0.9814295433422506


SFC Availability greedy 1: 0.984156448355495

SFC Availability greedy 2: 0.9828810681928906

SFC availability via MCF: 0.9841564483554949


SFC Availability greedy 1: 0.9849840757546301

SFC Availability greedy 2: 0.9828691520597567

SFC availability via MCF: 0.98498407575463


Simulation results for 16 VNF: 


SFC Availability greedy 1: 0.9737794036902121

SFC Availability greedy 2: 0.9711650018283204

SFC availability via MCF: 0.9737794036902119


SFC Availability greedy 1: 0.9775276898338492

SFC Availability greedy 2: 0.9739608091293022

SFC availability via MCF: 0.9775276898338492


SFC Availability greedy 1: 0.9724055083012428

SFC Availability greedy 2: 0.9705108109112397

SFC availability via MCF: 0.9724055083012426


SFC Availability greedy 1: 0.9770743102498638

SFC Availability greedy 2: 0.9707640005480819

SFC availability via MCF: 0.9770743102498641


SFC Availability greedy 1: 0.9740350582928757

SFC Availability greedy 2: 0.9684446429046156

SFC availability via MCF: 0.9740350582928758


SFC Availability greedy 1: 0.9764588392130502

SFC Availability greedy 2: 0.9718542832460951

SFC availability via MCF: 0.9764588392130503


SFC Availability greedy 1: 0.9831268459206655

SFC Availability greedy 2: 0.9781824725779918

SFC availability via MCF: 0.9831268459206652


SFC Availability greedy 1: 0.9771793479769754

SFC Availability greedy 2: 0.97360409579194

SFC availability via MCF: 0.9771793479769756


SFC Availability greedy 1: 0.9793754094200781

SFC Availability greedy 2: 0.975246270234351

SFC availability via MCF: 0.9793754094200781


SFC Availability greedy 1: 0.9766495577742921

SFC Availability greedy 2: 0.9712131465204092

SFC availability via MCF: 0.9766495577742922


Simulation results for 19 VNF: 


SFC Availability greedy 1: 0.9776841520207948

SFC Availability greedy 2: 0.9739879639541003

SFC availability via MCF: 0.977684152020795


SFC Availability greedy 1: 0.9775382126860012

SFC Availability greedy 2: 0.9730356982250012

SFC availability via MCF: 0.9775382126860012


SFC Availability greedy 1: 0.9737556982070034

SFC Availability greedy 2: 0.9678145143885614

SFC availability via MCF: 0.9737556982070031


SFC Availability greedy 1: 0.9690752205109154

SFC Availability greedy 2: 0.9612415727118693

SFC availability via MCF: 0.9690752205109155


